"","Taxa","Mean","SD","Int","Agr","Urb","Agr_se","Urb_se","Global_LC_p","Agr_p","Urb_p","R2m","R2c","Time","form","adjusted_p_agr","adjusted_p_urb","ratio_mean_agr","log_ratio_mean_agr","ratio_mean_urb","log_ratio_mean_urb"
"27","Halictus",15.6759656652361,52.5697000126012,1.7771832963095,-0.467321433030259,-0.0851657638252586,0.222157055036383,0.251730792684299,0.0354165560942188,0.106572292903488,0.735152101400677,0.112837345690767,0.908013349290646,41.7761955698331,1,0.168272041426561,0.918940126750847,0.62667862282621,-0.202955119640161,0.918360040910228,-0.0369870212763854
"28","Exomalopsis",1.16806722689076,2.81142733763232,-1.71561509303938,0.708534516899087,NA,0.429771585808606,NA,NA,0.100612754537723,NA,0.444310684596835,0.89225859498355,2.85615515708923,1,0.167687924229539,NA,2.03101266190447,0.30771263092726,NA,NA
"29","Eulaema",1.30065359477124,2.54714744298779,0.283974666895708,-1.10421995732027,NA,0.526384098533152,NA,NA,0.037686934789479,NA,0.374993263926461,0.931690741736159,2.21440696716309,1,0.0812611668742294,NA,0.331469341657702,-0.479556634271639,NA,NA
"30","Euglossa",4.68789808917197,8.59177715354712,1.98086226227413,-2.34546390590369,NA,0.733607517123494,NA,NA,0.00169946366433793,NA,0.407594463876083,0.92280194192648,3.43057107925415,1,0.00706587887515847,NA,0.0958027483595587,-1.01862203183722,NA,NA
"31","Colletes",0.629527991218441,2.72347488107137,-2.32028269970978,-0.82703004094764,-0.0197678303011691,0.317383411663145,0.371867779880066,0.00916664181514784,0.0277255255217492,0.957611711286862,0.12775295279581,0.878166315459074,4.97560166915258,1,0.0727685935303057,0.957611711286862,0.437346259872544,-0.35917458315178,0.980426272157287,-0.0085850596189976
"32","Andrena",21.4119798811157,58.8737768004708,1.51456845605802,0.227419634446428,-0.197077320244153,0.240609148871493,0.27518198359246,0.344565547535563,NA,NA,0.143113901766246,0.922949617511559,46.6385319471359,1,NA,NA,1.25535654827615,0.0987670923165383,0.821127141107042,-0.0855895926903155
"33","Agapostemon",6.31320103537532,19.9169976275063,1.35152707152372,-0.272551112504092,0.179499829063006,0.327999547145169,0.241051228346756,0.406002067447904,NA,NA,0.245065460254333,0.846949082507279,5.58930901686351,1,NA,NA,0.761434509356094,-0.11836744419712,1.19661869952106,0.0779557852646404
"34","Xylocopa",1.80157593123209,9.00911671001041,-0.233357754083511,-1.07506447998699,0.168147955681651,0.313699643567161,0.490538483195204,0.000610175872238867,0.00188423436670893,0.731814263249493,0.128383540462837,0.833562954831856,4.59787436723709,1,0.00706587887515847,0.918940126750847,0.341275749135659,-0.466894571348538,1.18311164578879,0.0730257292958536
"35","Scaptotrigona",4.99382716049383,14.8472541383315,1.01313097822744,-1.88277304502799,NA,0.899032073782491,NA,NA,0.0379218778746404,NA,0.361137409647077,0.693359697645542,3.20871186256409,1,0.0812611668742294,NA,0.152167552672936,-0.817677944131841,NA,NA
"36","Plebeia",3.84375,15.2757057402882,0.314200468815437,-1.48622383318861,NA,0.52766933392841,NA,NA,0.00539560947423112,NA,0.257171366733735,0.779961608575236,4.7304699420929,1,0.0161868284226934,NA,0.226225309149416,-0.645458809626914,NA,NA
"37","Melissodes",10.3352713178295,40.6531542283486,1.01575137495811,-0.332816496433404,-0.338035373167839,0.242336737698825,0.480221032227784,0.169639286030048,NA,NA,0.0675753511455465,0.904662821935815,6.0748064160347,1,NA,NA,0.716901736111596,-0.1445403678874,0.713170060367853,-0.146806897254899
"38","Melipona",0.796296296296296,1.99109473583427,-0.121351094711541,-0.73186096325522,NA,0.487081027975146,NA,NA,0.135058861999187,NA,0.125871851699135,0.39686132886985,1.52686977386475,1,0.19294123142741,NA,0.481013009119695,-0.317843177862141,NA,NA
"39","Megachile",4.5863599677159,26.2515318119442,0.442634375753043,-0.683601344174152,-0.222364092526273,0.175598994912795,0.235227825380907,9.9025041587713e-05,0.000304960821928546,0.344591381289393,0.0542114121709928,0.862574826802289,33.6942107995351,1,0.00182976493157128,0.906808882999207,0.504795771601389,-0.29688429159648,0.800623810115905,-0.0965714983575844
